data,total_viagens,crescimento_diario
2017-12-21,76,-22
2017-06-15,95,-22
2017-09-30,103,-22
2018-05-15,117,-22
2018-05-10,157,-22
2015-11-07,21,-21
2017-05-29,39,-21
2018-01-20,49,-21
2017-06-02,101,-21
2015-10-02,2,-20
2015-10-23,16,-20
2016-05-28,27,-20
2017-04-15,44,-20
2016-08-11,48,-20
2018-03-18,56,-20
2017-06-04,73,-20
2017-06-11,77,-20
2017-06-23,89,-20
2017-11-16,92,-20
2016-06-11,34,-19
2016-06-03,36,-19
2017-04-22,47,-19
2016-08-25,52,-19
2017-08-26,86,-19
2018-05-11,138,-19
2016-05-15,21,-18
2016-04-30,25,-18
2018-03-11,37,-18
2017-06-19,59,-18
2018-02-09,62,-18
2018-01-30,64,-18
2018-04-07,65,-18
2018-04-22,106,-18
2017-09-16,115,-18
2016-03-28,6,-17
2015-11-14,17,-17
2015-12-12,20,-17
2016-09-19,42,-17
2016-09-10,58,-17
2017-07-22,78,-17
2018-02-16,81,-17
2017-09-17,98,-17
2017-09-12,114,-17
2017-10-07,137,-17
2015-12-31,10,-16
2015-12-05,13,-16
2016-03-31,19,-16
2016-07-02,35,-16
2017-04-21,66,-16
2017-06-24,73,-16
2018-04-06,83,-16
2017-07-13,88,-16
2015-08-29,5,-15
2015-11-26,6,-15
2016-03-14,7,-15
2015-09-26,9,-15
2016-05-13,28,-15
2017-11-26,46,-15
2016-01-27,2,-14
2015-07-18,2,-14
2015-12-29,4,-14
2015-09-10,9,-14
2015-09-05,12,-14
2016-03-20,13,-14
2016-03-08,13,-14
2015-09-19,15,-14
2016-08-13,41,-14
2016-07-23,42,-14
2018-03-15,67,-14
2018-05-05,126,-14
2016-05-01,12,-13
2016-05-21,33,-13
2016-06-16,35,-13
2016-06-28,39,-13
2017-08-02,82,-13
2017-08-09,108,-13
2017-10-14,114,-13
2017-10-12,131,-13
2017-10-05,141,-13
2016-01-17,6,-12
2015-12-25,9,-12
2016-04-09,12,-12
2016-02-03,13,-12
2016-01-13,14,-12
2018-01-13,26,-12
2016-08-21,48,-12
2018-01-23,65,-12
2018-02-13,85,-12
2017-08-11,103,-12
2015-08-08,6,-11
2015-08-16,7,-11
2015-10-18,10,-11
2015-12-01,11,-11
2017-12-30,16,-11
2015-09-23,17,-11
2015-10-09,19,-11
2017-05-07,47,-11
2016-08-18,57,-11
2017-12-22,65,-11
2017-12-03,68,-11
2016-09-21,70,-11
2017-05-04,77,-11
2017-05-18,87,-11
2017-12-07,88,-11
2017-07-20,104,-11
2015-08-22,5,-10
2016-02-13,5,-10
2015-07-03,6,-10
2015-07-10,8,-10
2016-02-18,10,-10
2015-09-01,17,-10
2015-09-30,17,-10
2015-09-15,23,-10
2017-12-28,23,-10
2016-06-08,29,-10
2016-03-12,30,-10
2016-04-15,30,-10
2016-08-14,31,-10
2016-05-17,33,-10
2016-05-11,45,-10
2018-02-23,46,-10
2016-09-05,51,-10
2017-07-23,68,-10
2017-04-18,74,-10
2017-07-29,92,-10
2017-08-31,93,-10
2017-07-16,97,-10
2017-10-15,104,-10
2015-07-25,6,-9
2016-04-03,13,-9
2015-12-23,13,-9
2015-10-11,20,-9
2018-04-08,56,-9
2018-03-16,58,-9
2017-04-19,65,-9
2018-03-30,67,-9
2017-07-21,95,-9
2017-08-24,110,-9
2015-05-09,4,-8
2015-05-30,6,-8
2017-12-25,13,-8
2015-11-10,15,-8
2016-02-10,15,-8
2016-02-05,15,-8
2015-10-28,17,-8
2015-10-30,20,-8
2015-11-25,21,-8
2016-03-13,22,-8
2015-10-21,28,-8
2016-07-08,35,-8
2017-12-15,43,-8
2018-03-04,43,-8
2016-08-03,60,-8
2017-10-09,66,-8
2018-01-25,67,-8
2016-08-31,77,-8
2017-06-03,93,-8
2017-11-29,100,-8
2017-10-02,114,-8
2017-11-03,138,-8
2017-10-20,155,-8
2015-05-23,3,-7
2015-05-16,4,-7
2015-04-16,5,-7
2015-05-07,6,-7
2016-01-10,7,-7
2015-12-19,9,-7
2015-07-31,11,-7
2016-02-23,11,-7
2015-08-19,12,-7
2015-09-12,13,-7
2015-11-19,16,-7
2015-12-17,19,-7
2018-02-11,21,-7
2016-03-26,22,-7
2015-09-17,29,-7
2016-06-22,48,-7
2016-07-01,51,-7
2016-08-06,61,-7
2017-07-12,104,-7
2015-04-05,1,-6
2015-04-07,3,-6
2015-05-01,5,-6
2016-02-24,5,-6
2015-07-16,7,-6
2016-02-11,9,-6
2015-08-05,10,-6
2016-03-04,11,-6
2016-05-08,16,-6
2015-07-02,16,-6
2015-11-17,19,-6
2016-04-11,21,-6
2015-10-27,25,-6
2015-10-16,26,-6
2016-03-25,29,-6
2017-12-17,35,-6
2016-06-19,41,-6
2016-07-07,43,-6
2016-07-12,49,-6
2017-05-28,60,-6
2017-12-13,73,-6
2017-09-10,89,-6
2017-07-09,94,-6
2018-04-20,101,-6
2018-05-30,148,-6
2015-07-04,1,-5
2015-05-25,3,-5
2016-01-01,5,-5
2015-08-01,6,-5
2015-12-27,9,-5
2015-09-20,10,-5
2015-07-28,10,-5
2015-08-13,10,-5
2017-12-31,11,-5
2016-01-21,16,-5
2015-10-17,21,-5
2015-09-25,24,-5
2016-04-26,31,-5
2016-07-18,47,-5
2016-08-08,53,-5
2016-09-14,65,-5
2017-05-27,66,-5
2016-09-17,82,-5
2017-07-30,87,-5
2017-05-03,88,-5
2018-04-30,92,-5
2017-08-13,97,-5
2017-05-11,97,-5
2017-08-25,105,-5
2017-08-17,105,-5
2017-10-26,123,-5
2017-09-27,123,-5
2018-05-24,160,-5
2015-04-18,1,-4
2015-05-02,1,-4
2015-05-31,2,-4
2015-07-11,4,-4
2015-05-05,6,-4
2015-11-28,8,-4
2016-04-04,9,-4
2015-05-28,11,-4
2015-05-19,11,-4
2016-02-20,14,-4
2015-08-21,15,-4
2016-02-26,15,-4
2016-01-08,16,-4
2015-08-26,16,-4
2016-01-15,17,-4
2018-01-14,22,-4
2016-05-24,32,-4
2016-04-20,32,-4
2015-10-14,32,-4
2016-06-14,49,-4
2016-07-28,52,-4
2016-07-21,55,-4
2016-08-16,56,-4
2018-04-01,73,-4
2016-09-28,75,-4
2017-07-31,83,-4
2017-07-10,90,-4
2017-08-06,98,-4
2017-08-22,102,-4
2017-06-22,109,-4
2017-10-13,127,-4
2017-09-26,128,-4
2018-05-04,140,-4
2018-05-25,156,-4
2015-04-25,1,-3
2015-07-26,3,-3
2018-01-07,5,-3
2015-05-12,6,-3
2016-01-30,7,-3
2015-09-06,9,-3
2015-07-08,9,-3
2016-03-06,11,-3
2016-02-27,12,-3
2015-08-12,15,-3
2015-12-18,16,-3
2016-03-02,17,-3
2016-04-06,19,-3
2016-03-01,20,-3
2015-10-07,27,-3
2015-09-22,28,-3
2018-02-04,28,-3
2016-04-18,34,-3
2016-04-17,37,-3
2015-11-06,42,-3
2015-11-04,45,-3
2016-08-07,58,-3
2017-09-03,61,-3
2018-04-04,61,-3
2018-01-26,64,-3
2016-09-08,68,-3
2017-06-13,84,-3
2017-06-16,92,-3
2017-05-17,98,-3
2017-09-13,111,-3
2015-04-20,2,-2
2016-02-14,3,-2
2015-04-11,3,-2
2015-04-29,3,-2
2015-04-03,4,-2
2015-08-02,4,-2
2015-04-10,5,-2
2015-07-23,6,-2
2015-05-20,9,-2
2016-01-05,11,-2
2015-05-15,11,-2
2016-01-09,14,-2
2016-04-01,17,-2
2015-08-11,18,-2
2016-03-16,21,-2
2015-11-09,23,-2
2016-05-22,31,-2
2017-12-16,41,-2
2016-05-12,43,-2
2016-07-06,49,-2
2016-09-25,60,-2
2017-07-18,109,-2
2018-05-08,167,-2
2015-04-24,4,-1
2015-08-09,5,-1
2015-07-22,8,-1
2018-01-06,8,-1
2015-07-21,9,-1
2016-01-29,10,-1
2015-07-07,12,-1
2016-01-04,13,-1
2015-07-15,13,-1
2016-02-21,13,-1
2016-02-07,14,-1
2015-08-27,15,-1
2015-10-24,15,-1
2015-12-03,16,-1
2015-09-08,18,-1
2016-04-12,20,-1
2015-11-24,29,-1
2016-04-27,30,-1
2016-05-30,32,-1
2017-04-08,44,-1
2016-07-15,46,-1
2016-06-15,48,-1
2018-01-21,48,-1
2017-04-10,57,-1
2016-08-04,59,-1
2016-08-20,60,-1
2016-08-24,71,-1
2018-03-29,76,-1
2018-03-28,77,-1
2017-04-29,81,-1
2017-08-12,102,-1
2017-09-28,122,-1
2018-04-14,128,-1
